snapshot_id,snapshot_month_end_date_key,loan_id,dpd,aging_bucket,is_npl,ecl_stage,outstanding_balance,provision_amount,provision_rate
32,20240229,4,14,1-30,False,1,210148.65,5365.05,0.0255
33,20240331,4,9,1-30,False,1,194249.06,1942.49,0.01
34,20240430,4,0,Current,False,1,172288.56,11274.05,0.0654
35,20240531,4,12,1-30,False,1,167287.89,6164.14,0.0368
36,20240630,4,0,Current,False,1,147970.6,1479.71,0.01
37,20240731,4,18,1-30,False,1,157032.4,1570.32,0.01
38,20240831,4,0,Current,False,1,115647.09,5814.85,0.0503
39,20240930,4,0,Current,False,1,93114.2,2527.3,0.0271
40,20241031,4,26,1-30,False,1,102176.0,1640.54,0.0161
41,20241130,4,61,61-90,False,2,111237.81,18297.79,0.1645
42,20241231,4,77,61-90,False,2,120299.61,15692.13,0.1304
43,20250131,4,101,90+,True,3,129361.42,56841.1,0.4394
44,20250228,4,132,90+,True,3,138423.22,63411.32,0.4581
45,20250331,4,164,90+,True,3,147485.03,66666.13,0.452
46,20250430,4,177,90+,True,3,156546.83,73392.12,0.4688
47,20250531,4,213,90+,True,3,165608.64,75660.7,0.4569
48,20250630,4,242,90+,True,3,174670.44,79308.5,0.454
49,20250731,4,271,90+,True,3,183732.25,80093.98,0.4359
50,20250831,4,307,90+,True,3,192794.05,87783.13,0.4553
51,20250930,4,340,90+,True,3,201855.85,88869.48,0.4403
52,20251031,4,360,90+,True,3,210917.66,97713.53,0.4633
53,20251130,4,360,90+,True,3,219979.46,86556.58,0.3935
54,20251231,4,360,90+,True,3,229041.27,102627.73,0.4481
55,20250630,5,35,31-60,False,2,111009.43,15734.34,0.1417
56,20250731,5,27,1-30,False,1,94093.87,3985.96,0.0424
57,20250831,5,39,31-60,False,2,103603.3,15354.09,0.1482
58,20250930,5,29,1-30,False,1,74017.27,1454.0,0.0196
59,20251031,5,42,31-60,False,2,83526.7,9950.65,0.1191
60,20251130,5,56,31-60,False,2,93036.13,14230.68,0.153
61,20251231,5,83,61-90,False,2,102545.56,16742.82,0.1633
62,20240229,6,15,1-30,False,1,304889.16,14767.53,0.0484
63,20240331,6,0,Current,False,1,279901.32,5149.48,0.0184
64,20240430,6,0,Current,False,1,267709.27,13802.26,0.0516
65,20240531,6,0,Current,False,1,252521.55,4475.98,0.0177
66,20240630,6,25,1-30,False,1,243020.01,2430.2,0.01
67,20240731,6,13,1-30,False,1,227986.3,3584.0,0.0157
68,20240831,6,45,31-60,False,2,220052.19,28450.55,0.1293
69,20240930,6,33,31-60,False,2,204213.13,31504.93,0.1543
70,20241031,6,24,1-30,False,1,189251.55,5031.47,0.0266
71,20241130,6,17,1-30,False,1,174157.54,6903.41,0.0396
72,20241231,6,8,1-30,False,1,159793.2,2595.24,0.0162
73,20250131,6,2,1-30,False,1,145981.04,1459.81,0.01
74,20250228,6,0,Current,False,1,131616.34,8129.14,0.0618
75,20250331,6,0,Current,False,1,118108.59,2071.63,0.0175
76,20250430,6,0,Current,False,1,104013.14,5912.34,0.0568
77,20250531,6,13,1-30,False,1,111802.3,4243.08,0.038
78,20250630,6,34,31-60,False,2,119591.46,12946.33,0.1083
79,20250731,6,67,61-90,False,2,127380.62,21021.45,0.165
80,20250831,6,80,61-90,False,2,135169.78,25048.46,0.1853
81,20250930,6,116,90+,True,3,142958.94,60593.45,0.4239
82,20251031,6,148,90+,True,3,150748.1,68762.5,0.4561
83,20251130,6,174,90+,True,3,158537.26,68195.11,0.4302
84,20251231,6,191,90+,True,3,166326.42,73245.8,0.4404
85,20240930,7,32,31-60,False,2,473786.08,61714.13,0.1303
86,20241031,7,24,1-30,False,1,455089.95,9304.58,0.0204
87,20241130,7,3,1-30,False,1,434231.63,18470.52,0.0425
88,20241231,7,0,Current,False,1,413207.13,4132.07,0.01
89,20250131,7,0,Current,False,1,396110.46,12534.93,0.0316
90,20250228,7,12,1-30,False,1,393769.63,13350.2,0.0339
91,20250331,7,0,Current,False,1,374117.86,12837.9,0.0343
92,20250430,7,0,Current,False,1,354278.7,8653.85,0.0244
93,20250531,7,0,Current,False,1,322507.06,13982.78,0.0434
94,20250630,7,0,Current,False,1,302016.96,16179.08,0.0536
95,20250731,7,0,Current,False,1,259360.24,2593.6,0.01
96,20250831,7,21,1-30,False,1,270246.32,6603.89,0.0244
97,20250930,7,5,1-30,False,1,247860.62,8787.51,0.0355
98,20251031,7,0,Current,False,1,226461.16,2264.61,0.01
99,20251130,7,0,Current,False,1,206282.03,2899.01,0.0141
100,20251231,7,22,1-30,False,1,217168.11,7606.9,0.035
101,20250630,8,0,Current,False,1,202303.21,8045.64,0.0398
102,20250731,8,0,Current,False,1,179369.42,1793.69,0.01
103,20250831,8,0,Current,False,1,172831.37,1728.31,0.01
104,20250930,8,0,Current,False,1,148388.83,4829.5,0.0325
105,20251031,8,0,Current,False,1,92728.9,6327.19,0.0682
106,20251130,8,0,Current,False,1,67917.3,2388.34,0.0352
107,20251231,8,0,Current,False,1,0.0,0.0,0.0188
108,20251031,9,16,1-30,False,1,99124.72,3246.24,0.0327
109,20251130,9,3,1-30,False,1,92562.44,1181.27,0.0128
110,20251231,9,20,1-30,False,1,95987.17,6056.87,0.0631
111,20250430,10,26,1-30,False,1,139468.23,2136.93,0.0153
112,20250531,10,18,1-30,False,1,127027.83,3816.62,0.03
113,20250630,10,34,31-60,False,2,133496.06,21222.05,0.159
114,20250731,10,12,1-30,False,1,120251.72,1202.52,0.01
115,20250831,10,39,31-60,False,2,126719.95,18626.18,0.147
116,20250930,10,69,61-90,False,2,133188.19,20833.83,0.1564
117,20251031,10,81,61-90,False,2,139656.42,21914.65,0.1569
118,20251130,10,94,90+,True,3,146124.66,64515.27,0.4415
119,20251231,10,110,90+,True,3,152592.89,69925.83,0.4583
120,20240430,11,20,1-30,False,1,98284.36,982.84,0.01
121,20240531,11,10,1-30,False,1,88440.09,1271.32,0.0144
122,20240630,11,0,Current,False,1,77201.72,1297.23,0.0168
123,20240731,11,0,Current,False,1,62788.09,627.88,0.01
124,20240831,11,0,Current,False,1,51677.77,1023.59,0.0198
125,20240930,11,23,1-30,False,1,57662.13,1993.64,0.0346
126,20241031,11,6,1-30,False,1,46086.28,1255.62,0.0272
127,20241130,11,17,1-30,False,1,52070.64,1031.68,0.0198
128,20241231,11,37,31-60,False,2,58054.99,8185.81,0.141
129,20250131,11,59,31-60,False,2,64039.35,10451.01,0.1632
130,20250228,11,72,61-90,False,2,70023.71,9561.07,0.1365
131,20250331,11,103,90+,True,3,76008.06,32693.38,0.4301
132,20250430,11,115,90+,True,3,81992.42,38877.24,0.4742
133,20250531,11,136,90+,True,3,87976.77,37192.88,0.4228
134,20250630,11,156,90+,True,3,93961.13,41886.94,0.4458
135,20250731,11,188,90+,True,3,99945.49,44086.24,0.4411
136,20250831,11,217,90+,True,3,105929.84,47334.77,0.4469
137,20250930,11,236,90+,True,3,111914.2,50667.19,0.4527
138,20251031,11,248,90+,True,3,117898.55,53480.71,0.4536
139,20251130,11,263,90+,True,3,123882.91,57081.1,0.4608
140,20251231,11,279,90+,True,3,129867.27,61034.85,0.47
141,20250531,12,17,1-30,False,1,150256.21,1502.56,0.01
142,20250630,12,0,Current,False,1,129675.26,7253.22,0.0559
143,20250731,12,22,1-30,False,1,140431.47,1404.31,0.01
144,20250831,12,39,31-60,False,2,151187.69,20000.22,0.1323
145,20250930,12,71,61-90,False,2,161943.9,27359.96,0.1689
146,20251031,12,94,90+,True,3,172700.11,75933.04,0.4397
147,20251130,12,126,90+,True,3,183456.33,76004.6,0.4143
148,20251231,12,156,90+,True,3,194212.54,84629.57,0.4358
149,20240131,13,29,1-30,False,1,144447.71,4564.88,0.0316
150,20240229,13,52,31-60,False,2,152895.42,21454.68,0.1403
151,20240331,13,36,31-60,False,2,137805.51,21508.74,0.1561
152,20240430,13,14,1-30,False,1,120625.98,2422.03,0.0201
153,20240531,13,0,Current,False,1,105323.23,1154.45,0.011
154,20240630,13,16,1-30,False,1,113770.94,6729.67,0.0592
155,20240731,13,39,31-60,False,2,122218.65,14306.6,0.1171
156,20240831,13,64,61-90,False,2,130666.37,18522.01,0.1418
157,20240930,13,93,90+,True,3,139114.08,62463.28,0.449
158,20241031,13,124,90+,True,3,147561.79,70338.17,0.4767
159,20241130,13,144,90+,True,3,156009.5,66961.89,0.4292
160,20241231,13,180,90+,True,3,164457.21,71811.43,0.4367
161,20250131,13,203,90+,True,3,172904.93,79209.29,0.4581
162,20250228,13,237,90+,True,3,181352.64,78486.81,0.4328
163,20250331,13,262,90+,True,3,189800.35,83487.39,0.4399
164,20250430,13,293,90+,True,3,198248.06,91369.42,0.4609
165,20250531,13,318,90+,True,3,206695.77,92818.06,0.4491
166,20250630,13,352,90+,True,3,215143.49,97644.1,0.4539
167,20250731,13,360,90+,True,3,223591.2,101027.2,0.4518
168,20250831,13,360,90+,True,3,232038.91,104092.45,0.4486
169,20250930,13,360,90+,True,3,240486.62,118564.47,0.493
170,20251031,13,360,90+,True,3,248934.33,116727.67,0.4689
171,20251130,13,360,90+,True,3,257382.05,120474.64,0.4681
172,20251231,13,360,90+,True,3,265829.76,122544.17,0.461
173,20240630,14,20,1-30,False,1,53325.42,2086.8,0.0391
174,20240731,14,14,1-30,False,1,48822.33,1685.24,0.0345
175,20240831,14,0,Current,False,1,45575.71,873.88,0.0192
176,20240930,14,37,31-60,False,2,44644.64,7413.81,0.1661
177,20241031,14,24,1-30,False,1,40910.21,409.1,0.01
178,20241130,14,60,31-60,False,2,43035.63,5503.93,0.1279
179,20241231,14,73,61-90,False,2,45161.06,6423.06,0.1422
180,20250131,14,101,90+,True,3,47286.48,21548.01,0.4557
181,20250228,14,117,90+,True,3,49411.91,23173.06,0.469
182,20250331,14,133,90+,True,3,51537.33,24651.54,0.4783
183,20250430,14,147,90+,True,3,53662.75,23391.18,0.4359
184,20250531,14,162,90+,True,3,55788.18,26293.08,0.4713
185,20250630,14,191,90+,True,3,57913.6,26475.72,0.4572
186,20250731,14,210,90+,True,3,60039.03,25568.49,0.4259
187,20250831,14,245,90+,True,3,62164.45,29050.23,0.4673
188,20250930,14,258,90+,True,3,64289.87,29367.83,0.4568
189,20251031,14,272,90+,True,3,66415.3,27367.14,0.4121
190,20251130,14,291,90+,True,3,68540.72,28887.72,0.4215
191,20251231,14,314,90+,True,3,70666.15,32447.07,0.4592
192,20240331,15,0,Current,False,1,206752.04,7628.46,0.0369
193,20240430,15,0,Current,False,1,197650.2,7578.61,0.0383
194,20240531,15,0,Current,False,1,203302.24,2586.54,0.0127
195,20240630,15,0,Current,False,1,193332.02,7118.26,0.0368
196,20240731,15,0,Current,False,1,170862.84,5599.84,0.0328
197,20240831,15,0,Current,False,1,160914.47,4318.24,0.0268
198,20240930,15,0,Current,False,1,150114.01,3503.06,0.0233
199,20241031,15,0,Current,False,1,139057.46,2405.63,0.0173
200,20241130,15,0,Current,False,1,144709.5,6971.75,0.0482
201,20241231,15,0,Current,False,1,118785.02,3626.95,0.0305
202,20250131,15,0,Current,False,1,107506.1,4870.82,0.0453
203,20250228,15,0,Current,False,1,92526.86,6586.68,0.0712
204,20250331,15,0,Current,False,1,82370.62,5346.66,0.0649
205,20250430,15,0,Current,False,1,63421.29,1408.18,0.0222
206,20250531,15,0,Current,False,1,53568.58,535.69,0.01
207,20250630,15,0,Current,False,1,0.0,0.0,0.0355
208,20250731,15,0,Current,False,1,0.0,0.0,0.0333
209,20250831,15,0,Current,False,1,0.0,0.0,0.042
210,20250930,15,0,Current,False,1,0.0,0.0,0.029
211,20251031,15,0,Current,False,1,0.0,0.0,0.0404
212,20251130,15,0,Current,False,1,0.0,0.0,0.0299
213,20251231,15,0,Current,False,1,0.0,0.0,0.0707
214,20251231,16,30,1-30,False,2,687891.45,105804.14,0.1538
215,20240930,17,23,1-30,False,1,181703.0,7253.57,0.0399
216,20241031,17,35,31-60,False,2,186106.01,36295.81,0.195
217,20241130,17,13,1-30,False,1,178171.95,3737.33,0.021
218,20241231,17,2,1-30,False,1,170783.92,13725.1,0.0804
219,20250131,17,0,Current,False,1,161720.66,6446.4,0.0399
220,20250228,17,0,Current,False,1,153827.27,2430.24,0.0158
221,20250331,17,33,31-60,False,2,158230.27,26468.42,0.1673
222,20250430,17,18,1-30,False,1,150017.95,6886.74,0.0459
223,20250531,17,1,1-30,False,1,126258.13,3001.13,0.0238
224,20250630,17,0,Current,False,1,118066.19,4223.27,0.0358
225,20250731,17,0,Current,False,1,109802.24,1098.02,0.01
226,20250831,17,0,Current,False,1,101368.97,5101.65,0.0503
227,20250930,17,29,1-30,False,1,105771.98,2475.58,0.0234
228,20251031,17,50,31-60,False,2,110174.98,15966.1,0.1449
229,20251130,17,62,61-90,False,2,114577.98,18348.18,0.1601
230,20251231,17,84,61-90,False,2,118980.99,19845.37,0.1668
231,20250228,18,15,1-30,False,1,181551.57,17073.03,0.094
232,20250331,18,0,Current,False,1,151518.65,15086.31,0.0996
233,20250430,18,0,Current,False,1,124499.69,10666.73,0.0857
234,20250531,18,0,Current,False,1,93214.19,7490.35,0.0804
235,20250630,18,25,1-30,False,1,108865.77,6791.98,0.0624
236,20250731,18,49,31-60,False,2,124517.34,23303.56,0.1872
237,20250831,18,81,61-90,False,2,140168.91,30478.68,0.2174
238,20250930,18,103,90+,True,3,155820.48,75713.78,0.4859
239,20251031,18,117,90+,True,3,171472.06,85178.01,0.4967
240,20251130,18,131,90+,True,3,187123.63,92423.34,0.4939
241,20251231,18,156,90+,True,3,202775.2,104864.24,0.5171
242,20250731,19,261,90+,True,3,180600.0,94934.7,0.5257
243,20250831,19,252,90+,True,3,180600.0,88673.34,0.491
244,20250930,19,232,90+,True,3,180600.0,89278.77,0.4943
245,20251031,19,223,90+,True,3,180600.0,86049.84,0.4765
246,20251130,19,227,90+,True,3,180600.0,81872.22,0.4533
247,20251231,19,274,90+,True,3,180600.0,87046.02,0.482
248,20251231,20,16,1-30,False,1,252332.01,8782.91,0.0348
249,20251231,21,0,Current,False,1,181173.82,10765.62,0.0594
250,20240430,22,0,Current,False,1,170968.77,15838.66,0.0926
251,20240531,22,0,Current,False,1,178937.54,10617.85,0.0593
252,20240630,22,0,Current,False,1,161634.8,11842.02,0.0733
253,20240731,22,0,Current,False,1,130165.81,9334.58,0.0717
254,20240831,22,0,Current,False,1,121540.03,5844.25,0.0481
255,20240930,22,0,Current,False,1,108431.45,7760.74,0.0716
256,20241031,22,0,Current,False,1,93056.71,5526.53,0.0594
257,20241130,22,0,Current,False,1,101025.49,7706.98,0.0763
258,20241231,22,0,Current,False,1,0.0,0.0,0.125
259,20250131,22,0,Current,False,1,0.0,0.0,0.0954
260,20250228,22,0,Current,False,1,0.0,0.0,0.1011
261,20250331,22,0,Current,False,1,0.0,0.0,0.0832
262,20250430,22,0,Current,False,1,0.0,0.0,0.0568
263,20250531,22,0,Current,False,1,0.0,0.0,0.0809
264,20250630,22,0,Current,False,1,0.0,0.0,0.0796
265,20250731,22,0,Current,False,1,0.0,0.0,0.1036
266,20250831,22,0,Current,False,1,0.0,0.0,0.0874
267,20250930,22,0,Current,False,1,0.0,0.0,0.0684
268,20251031,22,0,Current,False,1,0.0,0.0,0.0822
269,20251130,22,0,Current,False,1,0.0,0.0,0.0874
270,20251231,22,0,Current,False,1,0.0,0.0,0.0858
271,20241031,23,285,90+,True,3,180800.0,75740.78,0.4189
272,20241130,23,274,90+,True,3,180800.0,78295.79,0.4331
273,20241231,23,255,90+,True,3,172834.08,79257.82,0.4586
274,20250131,23,244,90+,True,3,164621.91,76118.61,0.4624
275,20250228,23,236,90+,True,3,155183.01,66931.1,0.4313
276,20250331,23,272,90+,True,3,155183.01,71225.14,0.459
277,20250430,23,252,90+,True,3,155183.01,73920.15,0.4763
278,20250531,23,284,90+,True,3,155183.01,71780.64,0.4626
279,20250630,23,339,90+,True,3,155183.01,66060.49,0.4257
280,20250731,23,316,90+,True,3,155183.01,68918.56,0.4441
281,20250831,23,311,90+,True,3,155183.01,68539.64,0.4417
282,20250930,23,309,90+,True,3,155183.01,72323.26,0.4661
283,20251031,23,300,90+,True,3,155183.01,67828.59,0.4371
284,20251130,23,280,90+,True,3,155183.01,73782.79,0.4755
285,20251231,23,266,90+,True,3,155183.01,65436.68,0.4217
286,20241031,24,0,Current,False,1,416016.99,6216.54,0.0149
287,20241130,24,0,Current,False,1,397791.93,3977.92,0.01
288,20241231,24,0,Current,False,1,407908.92,24900.28,0.061
289,20250131,24,0,Current,False,1,357871.96,13943.83,0.039
290,20250228,24,0,Current,False,1,345944.68,3459.45,0.01
291,20250331,24,0,Current,False,1,328781.26,7099.75,0.0216
292,20250430,24,0,Current,False,1,308411.95,13275.31,0.043
293,20250531,24,0,Current,False,1,288981.22,6470.45,0.0224
294,20250630,24,0,Current,False,1,269818.54,2698.19,0.01
295,20250731,24,0,Current,False,1,248097.66,14119.1,0.0569
296,20250831,24,0,Current,False,1,228687.28,7604.19,0.0333
297,20250930,24,0,Current,False,1,195042.79,4460.87,0.0229
298,20251031,24,0,Current,False,1,168970.06,2202.77,0.013
299,20251130,24,0,Current,False,1,150845.07,4469.92,0.0296
300,20251231,24,0,Current,False,1,133630.01,1591.32,0.0119
301,20250831,25,0,Current,False,1,226406.26,8155.74,0.036
302,20250930,25,0,Current,False,1,220297.3,6303.85,0.0286
303,20251031,25,32,31-60,False,2,223750.46,28703.51,0.1283
304,20251130,25,57,31-60,False,2,227203.61,39781.85,0.1751
305,20251231,25,88,61-90,False,2,230656.77,29332.58,0.1272
306,20240930,26,23,1-30,False,1,265114.95,17686.29,0.0667
307,20241031,26,1,1-30,False,1,253160.36,4339.99,0.0171
308,20241130,26,0,Current,False,1,225581.52,10305.85,0.0457
309,20241231,26,0,Current,False,1,214394.16,3553.86,0.0166
310,20250131,26,34,31-60,False,2,207945.86,30491.41,0.1466
311,20250228,26,10,1-30,False,1,195733.55,7521.59,0.0384
312,20250331,26,35,31-60,False,2,201548.5,35833.03,0.1778
313,20250430,26,24,1-30,False,1,178650.86,9856.97,0.0552
314,20250531,26,39,31-60,False,2,184465.81,32668.48,0.1771
315,20250630,26,65,61-90,False,2,190280.76,32602.47,0.1713
316,20250731,26,83,61-90,False,2,196095.71,33126.62,0.1689
317,20250831,26,102,90+,True,3,201910.66,101919.13,0.5048
318,20250930,26,131,90+,True,3,207725.61,93784.25,0.4515
319,20251031,26,156,90+,True,3,213540.56,85559.95,0.4007
320,20251130,26,188,90+,True,3,219355.5,101760.53,0.4639
321,20251231,26,209,90+,True,3,225170.45,102513.89,0.4553
322,20240630,27,16,1-30,False,1,158922.42,15705.66,0.0988
323,20240731,27,44,31-60,False,2,153055.22,28249.76,0.1846
324,20240831,27,29,1-30,False,1,143676.84,13484.0,0.0938
325,20240930,27,20,1-30,False,1,135947.74,12413.0,0.0913
326,20241031,27,1,1-30,False,1,127336.71,10996.01,0.0864
327,20241130,27,0,Current,False,1,119031.86,9009.76,0.0757
328,20241231,27,0,Current,False,1,110499.41,10329.37,0.0935
329,20250131,27,0,Current,False,1,101572.4,8909.46,0.0877
330,20250228,27,0,Current,False,1,86673.56,5125.61,0.0591
331,20250331,27,0,Current,False,1,78170.52,7351.66,0.094
332,20250430,27,13,1-30,False,1,82792.94,6885.73,0.0832
333,20250531,27,36,31-60,False,2,87415.36,15468.61,0.177
334,20250630,27,64,61-90,False,2,92037.79,21206.02,0.2304
335,20250731,27,81,61-90,False,2,96660.21,22098.71,0.2286
336,20250831,27,92,90+,True,3,101282.63,49896.16,0.4926
337,20250930,27,104,90+,True,3,105905.05,51897.41,0.49
338,20251031,27,132,90+,True,3,110527.47,55676.32,0.5037
339,20251130,27,146,90+,True,3,115149.9,57145.74,0.4963
340,20251231,27,162,90+,True,3,119772.32,60804.62,0.5077
341,20250731,28,15,1-30,False,1,170033.88,4058.18,0.0239
342,20250831,28,7,1-30,False,1,162120.79,1621.21,0.01
343,20250930,28,0,Current,False,1,147951.19,4241.43,0.0287
344,20251031,28,27,1-30,False,1,151985.07,1519.85,0.01
345,20251130,28,54,31-60,False,2,156018.95,22726.8,0.1457
346,20251231,28,90,61-90,True,3,160052.84,74717.28,0.4668
347,20241231,29,0,Current,False,1,152141.81,5888.84,0.0387
348,20250131,29,0,Current,False,1,156883.62,6656.57,0.0424
349,20250228,29,0,Current,False,1,135114.21,1351.14,0.01
350,20250331,29,0,Current,False,1,121889.78,5225.52,0.0429
351,20250430,29,0,Current,False,1,112157.98,1131.66,0.0101
352,20250531,29,0,Current,False,1,101985.86,1019.86,0.01
353,20250630,29,0,Current,False,1,93924.07,5383.29,0.0573
354,20250731,29,0,Current,False,1,85647.92,856.48,0.01
355,20250831,29,0,Current,False,1,75697.59,802.12,0.0106
356,20250930,29,0,Current,False,1,66490.89,1487.0,0.0224
357,20251031,29,0,Current,False,1,59264.51,3913.34,0.066
358,20251130,29,0,Current,False,1,54179.75,1862.85,0.0344
359,20251231,29,0,Current,False,1,0.0,0.0,0.0618
360,20250630,30,0,Current,False,1,145742.24,3051.41,0.0209
361,20250731,30,0,Current,False,1,152484.48,3115.43,0.0204
362,20250831,30,0,Current,False,1,120710.28,7490.59,0.0621
363,20250930,30,0,Current,False,1,117624.79,1873.1,0.0159
364,20251031,30,0,Current,False,1,110827.09,2119.59,0.0191
365,20251130,30,0,Current,False,1,98416.25,3486.1,0.0354
366,20251231,30,0,Current,False,1,85668.34,4107.68,0.0479
367,20241031,31,25,1-30,False,1,370059.76,12416.81,0.0336
368,20241130,31,16,1-30,False,1,351847.19,14505.08,0.0412
369,20241231,31,0,Current,False,1,335694.71,3356.95,0.01
370,20250131,31,0,Current,False,1,297232.19,23386.32,0.0787
371,20250228,31,0,Current,False,1,281907.94,4716.86,0.0167
372,20250331,31,17,1-30,False,1,290767.7,18302.03,0.0629
373,20250430,31,8,1-30,False,1,261807.26,5209.98,0.0199
374,20250531,31,22,1-30,False,1,270667.03,12540.97,0.0463
375,20250630,31,45,31-60,False,2,279526.79,46971.05,0.168
376,20250731,31,72,61-90,False,2,288386.55,46681.14,0.1619
377,20250831,31,87,61-90,False,2,297246.32,47092.04,0.1584
378,20250930,31,104,90+,True,3,306106.08,128915.6,0.4211
379,20251031,31,122,90+,True,3,314965.85,152415.45,0.4839
380,20251130,31,134,90+,True,3,323825.61,146293.82,0.4518
381,20251231,31,163,90+,True,3,332685.37,151480.25,0.4553
382,20241231,32,0,Current,False,1,293483.97,2934.84,0.01
383,20250131,32,0,Current,False,1,277119.78,2771.2,0.01
384,20250228,32,0,Current,False,1,259545.28,15538.88,0.0599
385,20250331,32,0,Current,False,1,241064.51,5172.19,0.0215
386,20250430,32,0,Current,False,1,209909.88,4642.07,0.0221
387,20250531,32,0,Current,False,1,191192.89,9916.13,0.0519
388,20250630,32,0,Current,False,1,177431.38,5292.39,0.0298
389,20250731,32,0,Current,False,1,157940.44,5744.01,0.0364
390,20250831,32,0,Current,False,1,139329.97,4115.45,0.0295
391,20250930,32,0,Current,False,1,121227.77,4690.28,0.0387
392,20251031,32,0,Current,False,1,99694.92,1444.9,0.0145
393,20251130,32,0,Current,False,1,82186.31,3797.89,0.0462
394,20251231,32,0,Current,False,1,0.0,0.0,0.01
395,20240131,33,33,31-60,False,2,154484.32,26367.67,0.1707
396,20240229,33,24,1-30,False,1,147954.76,9404.46,0.0636
397,20240331,33,6,1-30,False,1,141363.77,1413.64,0.01
398,20240430,33,0,Current,False,1,136334.66,3153.48,0.0231
399,20240531,33,0,Current,False,1,129770.95,7012.06,0.054
400,20240630,33,0,Current,False,1,119996.0,2940.56,0.0245
401,20240731,33,0,Current,False,1,113927.03,1487.78,0.0131
402,20240831,33,0,Current,False,1,104456.32,3264.39,0.0313
403,20240930,33,12,1-30,False,1,108140.65,2150.75,0.0199
404,20241031,33,0,Current,False,1,101424.26,4406.55,0.0434
405,20241130,33,0,Current,False,1,94253.05,942.53,0.01
406,20241231,33,0,Current,False,1,87628.2,3580.51,0.0409
407,20250131,33,14,1-30,False,1,91312.52,1610.8,0.0176
408,20250228,33,3,1-30,False,1,84142.01,841.42,0.01
409,20250331,33,39,31-60,False,2,87826.33,11132.18,0.1268
410,20250430,33,70,61-90,False,2,91510.65,13139.33,0.1436
411,20250531,33,95,90+,True,3,95194.98,39663.75,0.4167
412,20250630,33,108,90+,True,3,98879.3,43551.78,0.4405
413,20250731,33,124,90+,True,3,102563.63,47008.44,0.4583
414,20250831,33,140,90+,True,3,106247.95,43787.56,0.4121
415,20250930,33,162,90+,True,3,109932.27,49820.46,0.4532
416,20251031,33,193,90+,True,3,113616.6,54138.95,0.4765
417,20251130,33,211,90+,True,3,117300.92,55501.95,0.4732
418,20251231,33,233,90+,True,3,120985.25,56061.81,0.4634
419,20240131,34,28,1-30,False,1,88779.28,8314.58,0.0937
420,20240229,34,13,1-30,False,1,68755.18,5679.28,0.0826
421,20240331,34,0,Current,False,1,49523.13,3647.42,0.0737
422,20240430,34,14,1-30,False,1,57102.41,4129.07,0.0723
423,20240531,34,31,31-60,False,2,64681.69,14799.1,0.2288
424,20240630,34,59,31-60,False,2,72260.97,15933.11,0.2205
425,20240731,34,91,90+,True,3,79840.25,42091.53,0.5272
426,20240831,34,114,90+,True,3,87419.52,43326.83,0.4956
427,20240930,34,139,90+,True,3,94998.8,48517.09,0.5107
428,20241031,34,156,90+,True,3,102578.08,53786.8,0.5243
429,20241130,34,169,90+,True,3,110157.36,53751.05,0.4879
430,20241231,34,203,90+,True,3,117736.64,57800.04,0.4909
431,20250131,34,235,90+,True,3,125315.91,61585.62,0.4914
432,20250228,34,247,90+,True,3,132895.19,59818.42,0.4501
433,20250331,34,266,90+,True,3,140474.47,70755.96,0.5037
