loan_id,customer_id,branch_id,product_id,origination_date_key,maturity_date_key,original_principal,annual_interest_rate,term_months,repayment_frequency,status,scheduled_installment
23,624,14,6,20241014,20270731,180800.0,0.2854,34,Monthly,WrittenOff,7814.02
24,374,18,6,20241023,20260317,405900.0,0.2654,17,Monthly,Closed,28905.69
25,745,16,6,20250805,20280720,232800.0,0.2987,36,Monthly,Active,9866.16
26,1571,2,7,20240902,20260224,259300.0,0.1856,18,Monthly,Active,16614.14
27,2322,18,7,20240618,20250713,154300.0,0.1874,13,Bi-Weekly,Restructured,13206.92
28,1100,7,1,20250705,20261227,166000.0,0.2952,18,Monthly,Active,11525.38
29,1506,16,7,20241227,20251222,147400.0,0.1849,12,Monthly,Closed,13548.03
30,2155,12,2,20250630,20260225,139000.0,0.2822,8,Monthly,Closed,19263.54
31,1694,18,6,20241004,20260226,361200.0,0.2423,17,Monthly,Active,25313.61
32,656,7,6,20241221,20251216,283900.0,0.2789,12,Monthly,Closed,27382.77
33,703,11,1,20240107,20250630,150800.0,0.3027,18,Monthly,Active,10526.64
34,1594,13,3,20240112,20240511,81200.0,0.3163,4,Weekly,Active,21655.08
35,720,3,8,20240101,20240301,314800.0,0.429,2,Monthly,Active,165889.98
36,623,14,2,20240508,20241104,261000.0,0.2049,6,Monthly,Active,46136.34
37,1480,3,2,20240911,20250310,198200.0,0.267,6,Monthly,WrittenOff,35652.97
38,1591,15,1,20240206,20251227,177400.0,0.2627,23,Bi-Weekly,Closed,9899.49
39,634,3,2,20240427,20241024,306500.0,0.2347,6,Bi-Weekly,Active,54636.63
40,121,4,6,20250911,20271130,217800.0,0.2396,27,Bi-Weekly,Closed,10513.83
41,1921,9,7,20250916,20260911,32400.0,0.19,12,Bi-Weekly,Active,2985.87
42,980,4,5,20240730,20241127,88500.0,0.3227,4,Monthly,Active,23632.18
43,1583,2,3,20251122,20260521,137200.0,0.3691,6,Monthly,Restructured,25390.47
44,432,1,7,20240327,20241023,86600.0,0.2072,7,Monthly,Restructured,13240.51
45,787,6,3,20240123,20240721,77600.0,0.3332,6,Monthly,Active,14218.91
46,1515,9,3,20240915,20250811,112600.0,0.2868,11,Monthly,Active,11761.98
47,311,1,5,20240712,20250408,68900.0,0.3622,9,Monthly,Active,8856.66
48,792,3,2,20240226,20250620,177000.0,0.2991,16,Monthly,Closed,13550.11
49,1798,12,3,20250911,20260708,159400.0,0.3461,10,Monthly,Active,18576.25
50,1929,6,7,20251216,20271106,298100.0,0.1606,23,Monthly,Active,15143.69
51,883,14,5,20240716,20241113,149900.0,0.3261,4,Weekly,Closed,40055.08
52,287,16,8,20240818,20240917,275400.0,0.4033,1,Monthly,Active,284655.74
53,66,1,7,20250609,20260704,74600.0,0.1827,13,Weekly,Active,6368.51
54,1391,18,3,20251113,20260711,257200.0,0.396,8,Monthly,Active,37104.91
55,1734,13,7,20240728,20260320,138200.0,0.1855,20,Bi-Weekly,Active,8085.98
56,1485,15,7,20250514,20260109,198900.0,0.1987,8,Monthly,Active,26750.55
57,1014,9,6,20240117,20250312,393200.0,0.262,14,Monthly,Active,32899.64
58,56,1,7,20250217,20261109,92500.0,0.207,21,Monthly,Active,5288.11
59,566,16,5,20251222,20260819,122400.0,0.3815,8,Monthly,Active,17568.69
60,90,11,8,20241213,20250313,158800.0,0.4034,3,Bi-Weekly,Active,56531.43
61,1156,1,2,20250413,20251209,37800.0,0.2434,8,Monthly,Active,5166.37
62,771,3,4,20250517,20270805,110100.0,0.1878,27,Monthly,Closed,5031.16
63,178,4,3,20250407,20260303,201100.0,0.3563,11,Monthly,Closed,21697.27
64,1523,7,1,20250516,20251112,283300.0,0.2957,6,Monthly,Closed,51371.49
65,926,8,5,20251010,20260108,111100.0,0.3344,3,Monthly,Active,39116.23
66,2407,8,1,20240108,20250830,159800.0,0.2298,20,Monthly,Closed,9692.86
67,1044,16,2,20251008,20270302,280700.0,0.2462,17,Monthly,Active,19725.45
68,227,17,7,20251025,20260821,112300.0,0.188,10,Monthly,Active,12220.21
69,1763,13,2,20251022,20270115,225600.0,0.1952,15,Monthly,Active,17070.82
70,1758,12,7,20240925,20260717,65700.0,0.2297,22,Monthly,Closed,3687.25
71,2324,16,1,20250302,20251028,359800.0,0.2839,8,Weekly,Active,49893.69
72,1732,5,4,20240915,20250811,147600.0,0.2769,11,Monthly,Restructured,15346.49
73,905,11,1,20250906,20260504,279300.0,0.3424,8,Monthly,Active,39542.28
74,1674,12,1,20241024,20260716,496100.0,0.2784,21,Bi-Weekly,Active,30111.73
75,1996,6,7,20240816,20260408,157900.0,0.2411,20,Weekly,Active,9665.19
76,1291,18,1,20250515,20260110,394100.0,0.3483,8,Bi-Weekly,Closed,55911.39
77,1987,5,8,20240206,20240406,141800.0,0.3832,2,Monthly,Active,74313.9
78,2418,2,5,20241001,20250628,74100.0,0.309,9,Bi-Weekly,Active,9329.28
79,1887,6,4,20240530,20270214,35300.0,0.1553,33,Monthly,Active,1321.13
80,1255,15,8,20240930,20250227,139300.0,0.4114,5,Bi-Weekly,Active,30789.76
81,1233,7,4,20241124,20251020,15000.0,0.1908,11,Monthly,Closed,1497.15
82,2096,4,4,20240216,20250710,141800.0,0.2323,17,Monthly,Closed,9868.59
83,2183,16,4,20250924,20260522,145200.0,0.203,8,Bi-Weekly,Active,19558.7
84,657,3,6,20241031,20260424,285200.0,0.2566,18,Monthly,Active,19255.6
85,25,3,7,20240919,20260112,112600.0,0.1832,16,Monthly,Closed,7985.29
86,2016,17,5,20240419,20241016,33700.0,0.301,6,Weekly,Closed,6119.94
87,591,6,3,20251228,20260924,237000.0,0.3031,9,Monthly,Closed,29769.53
88,2492,1,8,20250917,20251116,93000.0,0.3779,2,Monthly,Active,48707.89
89,91,8,5,20241218,20250815,46300.0,0.3396,8,Monthly,Closed,6548.51
90,2276,14,7,20240901,20260223,163600.0,0.2031,18,Monthly,Closed,10619.66
91,1696,14,4,20241207,20251202,128900.0,0.1879,12,Monthly,Active,11866.07
92,761,2,2,20251203,20260601,207000.0,0.283,6,Monthly,Closed,37402.98
93,87,6,8,20240610,20240908,82900.0,0.3952,3,Bi-Weekly,Active,29473.1
94,2116,12,6,20250515,20260609,319100.0,0.3251,13,Monthly,Active,29449.49
95,299,12,3,20251022,20260321,234200.0,0.3272,5,Weekly,Active,50740.21
96,239,12,7,20250706,20260601,157600.0,0.2021,11,Monthly,Active,15815.32
97,1976,7,1,20250928,20260923,245900.0,0.2853,12,Weekly,Active,23794.63
98,1695,16,8,20251123,20260122,188200.0,0.4184,2,Monthly,Active,99049.54
99,319,2,5,20240213,20240513,91200.0,0.341,3,Monthly,Restructured,32143.87
100,856,15,5,20240623,20241021,108100.0,0.3658,4,Monthly,Active,29115.44
101,1667,17,1,20240415,20260204,268100.0,0.3481,22,Bi-Weekly,Active,16655.89
102,1647,13,2,20250218,20260514,320800.0,0.2282,15,Weekly,Active,24783.12
103,906,8,6,20241024,20260914,248900.0,0.2984,23,Bi-Weekly,Active,14340.24
104,1031,7,5,20240130,20240429,38700.0,0.3576,3,Monthly,Restructured,13676.36
105,200,8,2,20250211,20251208,358800.0,0.2637,10,Monthly,Active,40357.83
106,23,3,6,20240314,20270128,560800.0,0.267,35,Monthly,Closed,23232.43
107,2419,4,6,20241024,20270611,145300.0,0.2676,32,Monthly,Active,6400.16
108,579,12,3,20240924,20250721,152600.0,0.3025,10,Weekly,WrittenOff,17454.66
109,2318,10,6,20251015,20270408,248200.0,0.2619,18,Monthly,Active,16822.29
110,106,9,8,20250513,20250811,190700.0,0.3748,3,Bi-Weekly,Restructured,67578.17
111,2475,9,4,20250401,20250928,139700.0,0.2169,6,Weekly,Active,24778.28
112,1069,2,2,20250830,20270122,649300.0,0.2273,17,Monthly,Restructured,45030.52
113,2016,16,8,20240511,20240610,95900.0,0.4131,1,Monthly,Active,99201.36
114,2101,18,8,20240706,20241103,243000.0,0.4017,4,Monthly,Closed,65917.69
115,880,5,4,20250703,20260827,250800.0,0.2251,14,Bi-Weekly,Active,20535.97
116,1845,6,4,20250701,20270522,162700.0,0.2118,23,Monthly,Active,8668.03
117,836,12,7,20240116,20251007,123000.0,0.2021,21,Monthly,Active,7002.51
118,1973,1,1,20240612,20250508,261400.0,0.2926,11,Monthly,Active,27379.68
119,2398,2,3,20240615,20241013,140700.0,0.3434,4,Monthly,Active,37726.97
120,2018,17,5,20240105,20241001,141000.0,0.3267,9,Monthly,Active,17875.6
121,1820,4,6,20250428,20270518,180400.0,0.2913,25,Weekly,Closed,9710.36
122,930,11,6,20240209,20250504,294200.0,0.2408,15,Monthly,Active,22907.68
123,272,16,3,20250907,20260105,120200.0,0.3414,4,Monthly,Active,32217.28
124,1266,14,7,20250304,20260528,15000.0,0.1832,15,Monthly,Closed,1126.45
125,325,5,6,20250710,20270928,457400.0,0.2526,27,Bi-Weekly,Closed,22381.48
126,1272,3,5,20241229,20250428,137800.0,0.3058,4,Monthly,Active,36672.36
127,2173,13,8,20251210,20260409,69300.0,0.3635,4,Monthly,Active,18656.58
128,284,8,1,20240716,20250909,373600.0,0.2856,14,Monthly,Active,31691.43
129,2253,18,6,20250211,20260507,66600.0,0.325,15,Monthly,Closed,5461.82
130,1496,12,8,20240105,20240504,121900.0,0.3807,4,Monthly,Active,32929.78
131,118,1,6,20250831,20271219,299800.0,0.2137,28,Bi-Weekly,Active,13690.68
132,1801,5,5,20250219,20250619,93900.0,0.351,4,Bi-Weekly,Closed,25216.35
133,1,14,3,20240508,20250304,145800.0,0.2866,10,Monthly,Active,16562.95
134,1528,13,3,20250820,20260117,134600.0,0.3444,5,Monthly,Closed,29281.52
135,1269,14,5,20251224,20260821,72600.0,0.3274,8,Monthly,Closed,10224.15
136,1865,5,8,20240220,20240719,111300.0,0.3918,5,Monthly,Closed,24487.05
137,941,5,4,20250910,20280726,229100.0,0.2559,35,Monthly,Active,9356.02
138,298,4,1,20250622,20260418,180600.0,0.3185,10,Bi-Weekly,Active,20799.86
139,968,13,4,20240916,20260109,300400.0,0.1826,16,Monthly,Active,21294.98
140,1904,1,1,20250408,20251104,173800.0,0.267,7,Monthly,Active,27086.92
141,2385,15,8,20250728,20260124,139200.0,0.3465,6,Monthly,Active,25600.24
142,521,6,5,20241216,20250614,115700.0,0.4181,6,Monthly,Active,21701.92
143,879,9,2,20250502,20260825,215000.0,0.2241,16,Monthly,Active,15669.06
144,2193,5,5,20240205,20250130,152200.0,0.3751,12,Monthly,Active,15405.41
145,783,8,5,20251107,20260605,114500.0,0.324,7,Bi-Weekly,Active,18170.75
146,613,14,5,20251106,20260803,80800.0,0.3076,9,Monthly,Active,10167.23
147,2079,4,5,20240602,20241229,151700.0,0.3406,7,Monthly,Closed,24200.68
148,1230,11,8,20241215,20250414,38800.0,0.3902,4,Weekly,Active,10501.14
149,1459,2,7,20240623,20250419,74800.0,0.2241,10,Monthly,Closed,8269.6
150,1219,4,3,20241019,20250914,179400.0,0.3444,11,Bi-Weekly,Closed,19249.75
151,1508,13,2,20240720,20250215,346200.0,0.2323,7,Monthly,Closed,53360.18
152,673,11,8,20250921,20260119,145800.0,0.3568,4,Monthly,Closed,39199.13
153,1830,12,6,20250522,20280307,299600.0,0.2441,34,Monthly,Restructured,12293.3
154,905,5,1,20250910,20270602,219800.0,0.2315,21,Bi-Weekly,Active,12828.87
155,1309,4,5,20250802,20260529,140900.0,0.3318,10,Bi-Weekly,Active,16320.29
156,464,8,1,20250615,20261207,278800.0,0.2996,18,Monthly,Closed,19418.44
157,29,3,1,20240501,20260322,145300.0,0.2657,23,Monthly,Closed,8130.14
158,1426,16,2,20250829,20270121,138400.0,0.2121,17,Monthly,Active,9496.65
159,347,5,3,20250726,20260122,245900.0,0.3195,6,Monthly,Restructured,44886.06
160,2283,13,1,20240331,20250823,163700.0,0.281,17,Monthly,Closed,11783.75
161,2399,3,7,20240305,20250429,141800.0,0.1936,14,Weekly,Closed,11396.59
162,792,12,4,20250710,20260903,228100.0,0.209,14,Monthly,Active,18500.65
163,723,4,5,20241012,20250907,114400.0,0.3475,11,Monthly,Active,12292.83
164,1271,6,7,20240827,20250223,59400.0,0.183,6,Monthly,Active,10435.08
165,511,8,7,20241016,20250613,38700.0,0.1853,8,Monthly,Active,5179.65
166,2155,3,7,20250926,20260524,269600.0,0.15,8,Weekly,Active,35623.09
167,255,3,2,20240922,20250520,125100.0,0.2485,8,Monthly,Active,17129.55
168,1132,14,6,20240927,20260917,231500.0,0.2827,24,Bi-Weekly,Closed,12738.56
169,473,7,8,20241018,20250416,149800.0,0.3947,6,Monthly,Active,27918.31
170,2079,11,1,20240209,20260129,223700.0,0.3574,24,Monthly,Active,13178.1
171,361,12,7,20240128,20251218,165900.0,0.2049,23,Monthly,Active,8782.52
172,1116,12,7,20241029,20260621,15000.0,0.1953,20,Bi-Weekly,Restructured,884.71
173,2084,12,7,20240113,20250308,103200.0,0.215,14,Monthly,Restructured,8400.04
174,1101,18,4,20250707,20271224,174200.0,0.2834,30,Monthly,Active,8170.11
175,462,12,2,20241106,20250803,331700.0,0.2576,9,Monthly,Active,40923.34
176,394,7,6,20250101,20270421,228400.0,0.2133,28,Monthly,Active,10425.56
177,1513,6,5,20240902,20241201,44000.0,0.353,3,Bi-Weekly,Active,15537.89
178,313,15,6,20250712,20280427,354200.0,0.2536,34,Weekly,Closed,14709.9
179,889,8,3,20241108,20251103,48100.0,0.2623,12,Monthly,Restructured,4600.38
180,1529,11,2,20240126,20250420,404100.0,0.3009,15,Monthly,Active,32655.73
181,949,15,8,20241222,20250220,132600.0,0.4444,2,Monthly,Active,70005.28
182,2069,5,5,20240509,20241006,58600.0,0.3128,5,Monthly,Active,12652.22
183,1720,5,7,20250310,20261031,35600.0,0.173,20,Monthly,Active,2061.64
184,339,1,8,20250215,20250516,69400.0,0.4048,3,Monthly,Active,24711.32
185,2043,2,4,20241212,20261003,15000.0,0.1934,22,Monthly,Active,815.24
186,2276,12,3,20241008,20250506,174600.0,0.3159,7,Bi-Weekly,Closed,27637.55
187,506,10,8,20250311,20250907,55800.0,0.3786,6,Monthly,Active,10353.52
188,898,6,6,20250512,20260904,383900.0,0.268,16,Bi-Weekly,Active,28799.55
189,989,4,6,20251004,20270825,406000.0,0.2379,23,Bi-Weekly,Active,22152.88
190,1064,13,8,20251204,20260202,197300.0,0.4248,2,Weekly,Closed,103918.68
191,1160,2,2,20240301,20250425,280200.0,0.2861,14,Weekly,Closed,23775.46
192,2237,13,3,20250427,20251024,218800.0,0.317,6,Monthly,Closed,39911.54
193,1629,17,1,20240302,20250126,416300.0,0.2989,11,Monthly,Active,43733.1
194,2241,9,4,20241101,20250927,140700.0,0.2389,11,Bi-Weekly,Active,14368.94
195,877,9,4,20250625,20280210,145500.0,0.2201,32,Bi-Weekly,Closed,6051.43
196,1313,10,4,20250131,20260126,75400.0,0.2719,12,Monthly,Restructured,7246.7
197,266,2,2,20250813,20270105,131500.0,0.2105,17,Monthly,Active,9013.05
198,692,12,7,20251029,20270919,222600.0,0.2258,23,Bi-Weekly,Active,12012.53
199,1460,7,4,20251212,20281027,168500.0,0.2166,35,Monthly,Active,6535.98
200,430,9,4,20250506,20260829,174900.0,0.1864,16,Monthly,Active,12430.1
201,2401,1,7,20250507,20261029,72700.0,0.2674,18,Monthly,Active,4947.14
202,679,16,4,20250810,20280226,249900.0,0.2916,31,Monthly,Active,11568.34
203,404,7,8,20240619,20240719,101700.0,0.3938,1,Monthly,Active,105037.45
204,1952,2,2,20240808,20250204,153800.0,0.2633,6,Monthly,Active,27637.46
205,226,15,7,20240906,20250603,74100.0,0.1859,9,Bi-Weekly,Active,8884.14
206,812,18,8,20250628,20251225,245700.0,0.3907,6,Monthly,Active,45740.94
207,497,10,7,20240913,20250411,31100.0,0.166,7,Bi-Weekly,Active,4692.07
208,1737,1,8,20240411,20240908,59900.0,0.3616,5,Monthly,Active,13084.42
209,2108,18,6,20250806,20280323,783800.0,0.3353,32,Bi-Weekly,Active,37373.69
210,489,4,5,20250702,20260627,132300.0,0.3388,12,Monthly,Active,13151.35
211,1041,5,7,20250310,20260703,61400.0,0.2015,16,Monthly,Active,4408.0
212,1197,13,8,20251006,20260203,33500.0,0.3757,4,Monthly,Active,9040.62
213,1728,6,5,20250801,20260528,15000.0,0.3457,10,Monthly,Active,1747.78
214,881,2,6,20251020,20280108,335500.0,0.2349,27,Monthly,Active,16116.02
215,1308,13,1,20240708,20260228,337400.0,0.2768,20,Monthly,Closed,21249.96
216,1260,5,8,20240326,20240624,241500.0,0.364,3,Monthly,Closed,85432.3
217,29,16,7,20240906,20260728,15000.0,0.2388,23,Monthly,Active,819.13
218,1425,3,2,20250829,20260725,91000.0,0.2004,11,Weekly,Active,9124.52
219,1420,17,3,20251106,20260505,131600.0,0.2846,6,Monthly,Active,23789.53
220,2478,14,2,20240321,20250614,584500.0,0.1886,15,Monthly,Closed,44044.19
221,1276,5,3,20250917,20260614,202000.0,0.2933,9,Weekly,Active,25275.59
222,2250,11,8,20241215,20250114,149800.0,0.3862,1,Monthly,Active,154621.06
223,873,17,4,20250820,20260716,22000.0,0.2493,11,Bi-Weekly,Active,2257.84
224,1740,2,4,20250513,20251209,15000.0,0.2133,7,Monthly,Active,2297.9
225,2255,15,7,20240213,20250607,123100.0,0.1877,16,Monthly,Active,8756.32
226,385,9,3,20241219,20251114,133000.0,0.329,11,Bi-Weekly,Active,14169.39
227,1418,18,8,20240306,20240505,98600.0,0.3867,2,Monthly,Active,51695.63
228,2298,4,7,20240905,20250503,89600.0,0.2723,8,Monthly,Active,12373.58
229,1391,13,3,20250707,20260602,87600.0,0.3023,11,Monthly,Active,9217.19
230,2232,18,6,20250514,20271031,163600.0,0.2924,30,Monthly,Closed,7750.57
231,1050,7,4,20250530,20270321,231200.0,0.2448,22,Monthly,Active,13148.21
232,2217,2,3,20250428,20250925,77900.0,0.3014,5,Monthly,Active,16773.36
233,1573,8,8,20240111,20240609,97900.0,0.405,5,Monthly,Active,21606.32
234,1198,11,4,20250302,20260725,116900.0,0.205,17,Monthly,Active,7981.42
235,538,12,1,20241220,20251016,334800.0,0.3082,10,Weekly,Closed,38389.03
236,427,9,4,20250121,20260416,51900.0,0.223,15,Weekly,Active,3996.46
237,722,17,5,20240604,20240902,134000.0,0.3358,3,Monthly,Active,47189.51
238,1887,11,2,20250530,20260525,180400.0,0.2153,12,Bi-Weekly,Closed,16843.65
239,1171,12,6,20250320,20270906,294100.0,0.3359,30,Bi-Weekly,Closed,14617.87
240,972,18,2,20241021,20260213,447200.0,0.2676,16,Monthly,Closed,33539.43
241,1168,17,1,20240211,20250903,133700.0,0.2523,19,Monthly,Active,8608.45
242,862,7,5,20240220,20250115,122400.0,0.3274,11,Monthly,Active,13030.41
243,2018,6,2,20240919,20260313,370600.0,0.2029,18,Monthly,Restructured,24052.94
244,977,14,7,20250127,20251123,144800.0,0.2229,10,Bi-Weekly,Active,16000.13
245,1181,10,1,20251229,20270222,235900.0,0.2993,14,Monthly,Restructured,20169.91
246,1398,9,4,20250612,20261005,290100.0,0.2201,16,Monthly,Active,21086.25
247,1616,13,1,20241220,20260713,248300.0,0.2747,19,Bi-Weekly,Closed,16262.51
248,834,12,4,20240806,20270222,136300.0,0.2105,31,Monthly,Active,5737.58
249,184,17,8,20240503,20241030,93100.0,0.4236,6,Weekly,Restructured,17489.13
250,1725,7,6,20240412,20250606,344200.0,0.3117,14,Weekly,Closed,29640.86
251,1401,14,5,20240222,20241019,133400.0,0.3654,8,Monthly,Closed,19039.77
252,1620,5,2,20251028,20260526,217000.0,0.2034,7,Monthly,Restructured,33137.12
253,1360,17,3,20240112,20240710,15000.0,0.3144,6,Monthly,Closed,2734.19
254,1273,2,4,20250923,20270516,161100.0,0.2276,20,Monthly,Active,9754.37
255,2372,14,5,20250302,20251127,41500.0,0.318,9,Bi-Weekly,Active,5243.37
256,135,2,2,20250328,20260721,339000.0,0.2002,16,Monthly,Closed,24316.2
257,231,16,8,20251201,20260530,119900.0,0.3614,6,Monthly,Closed,22141.8
258,2342,18,6,20250729,20270321,470900.0,0.325,20,Monthly,Active,30804.53
259,2218,15,3,20240417,20250112,73600.0,0.2843,9,Monthly,Active,9176.73
260,1030,15,1,20251209,20260707,185800.0,0.3014,7,Monthly,Closed,29275.65
261,1352,9,5,20240508,20240905,74700.0,0.3353,4,Monthly,Active,19997.5
262,1124,5,4,20250220,20280205,15000.0,0.2154,36,Monthly,Closed,569.29
263,2493,18,6,20250413,20280227,497800.0,0.2704,35,Bi-Weekly,Active,20712.8
264,1141,10,5,20240627,20250622,16900.0,0.3637,12,Monthly,Closed,1700.94
265,1900,15,6,20250405,20260927,495600.0,0.2811,18,Monthly,Active,34061.35
266,913,13,7,20250411,20261003,154000.0,0.1812,18,Monthly,Active,9834.9
267,954,13,5,20251217,20260516,81100.0,0.3415,5,Bi-Weekly,Active,17630.68
268,1687,7,6,20251030,20280318,375200.0,0.2417,29,Monthly,Active,17208.55
269,998,8,3,20241019,20250616,162200.0,0.3343,8,Monthly,Closed,22898.14
270,35,8,8,20250519,20251115,88000.0,0.3796,6,Monthly,Active,16332.63
271,433,11,4,20250823,20270115,143900.0,0.2013,17,Monthly,Active,9799.28
272,2184,13,6,20240120,20260509,437000.0,0.2954,28,Weekly,Active,21782.95
273,918,4,8,20250515,20250912,44400.0,0.3878,4,Bi-Weekly,Active,12011.04
274,257,5,3,20251101,20260927,164200.0,0.3095,11,Monthly,Closed,17335.18
275,2348,1,1,20240328,20240924,15000.0,0.335,6,Monthly,Closed,2749.87
276,2500,10,2,20250704,20260629,18400.0,0.2208,12,Monthly,Active,1722.85
277,1250,13,2,20240214,20250109,317700.0,0.265,11,Monthly,Active,32847.84
278,1571,4,1,20241020,20250816,199900.0,0.3285,10,Monthly,Closed,23121.52
279,1888,13,5,20250822,20260718,51600.0,0.375,11,Monthly,Active,5615.48
280,166,1,3,20251222,20261117,136300.0,0.3853,11,Monthly,Active,14903.5
281,742,16,1,20250616,20260112,202500.0,0.2807,7,Monthly,Closed,31697.88
282,1407,13,2,20250611,20260805,131400.0,0.224,14,Monthly,Closed,10752.31
283,1375,13,3,20240708,20250603,25300.0,0.3445,11,Monthly,Active,2714.83
284,829,13,3,20250826,20260222,15000.0,0.3482,6,Monthly,Active,2759.94
285,5,7,8,20250426,20250824,179100.0,0.3763,4,Monthly,Active,48339.35
286,2383,18,6,20251120,20280208,252400.0,0.2945,27,Monthly,Closed,12895.08
287,1537,14,6,20250316,20260311,475100.0,0.3617,12,Monthly,Active,47769.91
288,1889,4,6,20240129,20260915,250800.0,0.2831,32,Weekly,Active,11252.53
289,1094,17,7,20250108,20260831,148400.0,0.2277,20,Monthly,Active,8986.13
290,1268,14,3,20250720,20260116,131200.0,0.3673,6,Monthly,Active,24268.05
291,1112,6,1,20250729,20260624,255300.0,0.3751,11,Monthly,Active,27784.83
292,1075,18,5,20241009,20250805,94200.0,0.3474,10,Monthly,Restructured,10984.02
293,1677,5,1,20240505,20260125,196500.0,0.3376,21,Bi-Weekly,Active,12519.17
294,2490,12,2,20250927,20260326,102400.0,0.2263,6,Monthly,Active,18210.67
295,1944,13,7,20250824,20260819,181300.0,0.2007,12,Bi-Weekly,Active,16800.71
296,1669,18,5,20251004,20260701,161700.0,0.3266,9,Monthly,Active,20499.08
297,31,11,6,20250505,20260729,585500.0,0.2234,15,Monthly,Active,45096.58
298,1285,18,5,20250828,20260823,65100.0,0.2919,12,Monthly,Active,6320.5
299,2390,6,5,20241021,20250320,57000.0,0.3529,5,Monthly,Active,12425.19
300,995,15,3,20250723,20260618,101200.0,0.3335,11,Monthly,Active,10804.08
301,1374,5,2,20241222,20250620,228900.0,0.2188,6,Monthly,Active,40621.26
302,812,18,3,20250803,20260629,136300.0,0.3667,11,Monthly,Active,14776.55
303,478,14,7,20240416,20241013,40200.0,0.1667,6,Monthly,WrittenOff,7029.5
304,1764,12,8,20240804,20250101,15000.0,0.4077,5,Monthly,WrittenOff,3312.58
305,784,2,1,20240605,20250531,256000.0,0.2875,12,Monthly,Active,24799.56
306,1470,9,5,20241024,20250522,15000.0,0.3432,7,Bi-Weekly,Active,2394.91
307,1484,3,4,20250818,20260515,111900.0,0.247,9,Monthly,Closed,13747.67
308,2121,17,5,20240325,20241220,47500.0,0.3627,9,Monthly,Active,6107.01
309,2346,7,2,20250617,20260811,343600.0,0.2712,14,Monthly,Closed,28903.98
310,1384,15,1,20250830,20260825,375700.0,0.3174,12,Monthly,Active,36948.22
311,126,17,2,20250505,20260430,378500.0,0.2118,12,Monthly,Active,35276.27
312,1456,2,2,20250417,20260512,208400.0,0.284,13,Monthly,Active,18810.58
313,2212,14,1,20240411,20251102,113800.0,0.2682,19,Bi-Weekly,Closed,7416.63
314,1194,6,3,20250323,20251118,83000.0,0.3168,8,Monthly,Active,11644.99
315,1412,2,6,20240614,20250709,366000.0,0.2695,13,Monthly,Closed,32776.19
316,1907,5,8,20240628,20241026,15000.0,0.4105,4,Monthly,Closed,4076.1
317,1098,10,6,20250921,20270514,543000.0,0.2655,20,Monthly,Active,33892.98
318,1038,16,2,20250325,20260218,210300.0,0.2452,11,Monthly,Active,21541.02
319,1206,13,3,20251227,20260725,175000.0,0.3686,7,Monthly,Active,28164.53
320,2130,5,3,20241128,20250626,15300.0,0.2811,7,Monthly,Active,2395.26
321,1220,6,2,20240918,20250615,138900.0,0.2499,9,Monthly,Active,17084.47
322,818,6,8,20251228,20260226,15000.0,0.3666,2,Monthly,Active,7845.41
323,1492,14,6,20250331,20270818,483400.0,0.3002,29,Monthly,Closed,23639.15
324,1732,10,4,20250922,20260917,107200.0,0.1982,12,Monthly,Closed,9921.19
325,2282,1,4,20240202,20260621,165700.0,0.2212,29,Monthly,Active,7427.7
