action_id,loan_id,action_date_key,reference_month_end_date_key,dpd_at_action,action_type,outcome,collector_id,collection_team,amount_recovered
50,3162,20250409,20250430,112,Demand Letter,PTP Given,18,In-house,0.0
51,4029,20250509,20250531,312,SMS Reminder,PTP Given,5,Agency B,0.0
52,4050,20250608,20250630,332,Promise to Pay,Escalated,35,In-house,0.0
53,3430,20251010,20251031,251,Demand Letter,No Answer,50,In-house,0.0
54,3301,20241028,20241031,57,Field Visit,Escalated,2,Agency B,0.0
55,1319,20241221,20241231,35,Phone Call,PTP Broken,20,In-house,0.0
56,2789,20241218,20241231,51,Field Visit,PTP Given,64,In-house,0.0
57,3648,20240817,20240831,35,SMS Reminder,Reached,38,Agency B,0.0
58,1543,20251211,20251231,360,Phone Call,PTP Given,59,In-house,0.0
59,2168,20250730,20250731,110,Field Visit,Restructured,55,Agency B,0.0
60,668,20240709,20240731,102,SMS Reminder,PTP Given,54,In-house,0.0
61,4142,20240921,20240930,46,Demand Letter,Paid Full,57,In-house,59450.5
62,391,20250414,20250430,261,SMS Reminder,Paid Partial,40,In-house,31982.88
63,1790,20251119,20251130,99,Field Visit,Paid Partial,3,In-house,15619.67
64,3412,20250123,20250131,32,Phone Call,PTP Broken,57,In-house,0.0
65,2397,20241220,20241231,72,Phone Call,Reached,4,In-house,0.0
66,2054,20251219,20251231,311,SMS Reminder,No Answer,19,In-house,0.0
67,301,20250614,20250630,35,SMS Reminder,Paid Partial,16,In-house,17558.74
68,4033,20251212,20251231,87,SMS Reminder,Paid Partial,21,In-house,14940.12
69,2451,20250123,20250131,76,Field Visit,PTP Broken,45,In-house,0.0
70,1966,20240508,20240531,59,SMS Reminder,PTP Broken,46,Agency A,0.0
71,3714,20250714,20250731,285,SMS Reminder,Paid Partial,18,In-house,8795.89
72,2475,20250831,20250831,177,Phone Call,PTP Given,36,In-house,0.0
73,878,20250330,20250331,89,Promise to Pay,Paid Partial,25,In-house,4724.75
74,4148,20251225,20251231,38,Phone Call,Escalated,53,In-house,0.0
75,668,20241008,20241031,195,Phone Call,PTP Given,44,In-house,0.0
76,2725,20250623,20250630,78,Demand Letter,Reached,52,In-house,0.0
77,37,20250618,20250630,351,Restructure Offer,PTP Broken,10,Agency A,0.0
78,2821,20251222,20251231,271,Phone Call,Restructured,18,In-house,0.0
79,351,20251030,20251031,93,Promise to Pay,Reached,25,In-house,0.0
80,941,20250623,20250630,360,SMS Reminder,Reached,4,In-house,0.0
81,207,20250818,20250831,138,Phone Call,Paid Partial,13,In-house,1607.39
82,1184,20251109,20251130,160,Phone Call,Reached,5,In-house,0.0
83,3958,20250121,20250131,221,SMS Reminder,Escalated,40,Agency A,0.0
84,79,20250316,20250331,45,Demand Letter,No Answer,34,In-house,0.0
85,3676,20241221,20241231,43,Promise to Pay,Paid Full,44,In-house,28449.08
86,1928,20250329,20250331,72,Phone Call,Reached,54,Agency A,0.0
87,866,20241107,20241130,66,SMS Reminder,Reached,24,Agency A,0.0
88,3772,20240923,20240930,45,SMS Reminder,Paid Partial,8,In-house,9818.43
89,3879,20251209,20251231,128,Phone Call,Paid Partial,39,In-house,24448.01
90,1062,20250812,20250831,218,Legal Notice,PTP Broken,41,In-house,0.0
91,261,20250420,20250430,285,Phone Call,PTP Given,38,Agency B,0.0
92,3493,20250415,20250430,150,Phone Call,Escalated,21,In-house,0.0
93,878,20240722,20240731,30,Phone Call,No Answer,13,Agency B,0.0
94,2199,20251013,20251031,268,Field Visit,PTP Broken,55,In-house,0.0
95,17,20250314,20250331,33,SMS Reminder,Paid Full,64,In-house,12857.3
96,844,20250119,20250131,182,Phone Call,Reached,59,In-house,0.0
97,3339,20251118,20251130,124,SMS Reminder,Reached,58,In-house,0.0
98,1340,20250509,20250531,101,Phone Call,Reached,37,Agency B,0.0
99,2099,20250520,20250531,229,SMS Reminder,No Answer,21,In-house,0.0
100,1630,20240819,20240831,32,SMS Reminder,PTP Given,6,Agency A,0.0
101,2475,20250926,20250930,204,SMS Reminder,PTP Given,37,In-house,0.0
102,3652,20251111,20251130,36,Phone Call,Restructured,20,Agency B,0.0
103,2167,20240616,20240630,56,Field Visit,PTP Broken,33,In-house,0.0
104,4050,20250322,20250331,253,SMS Reminder,PTP Given,39,In-house,0.0
105,2551,20251129,20251130,31,Demand Letter,PTP Broken,2,In-house,0.0
106,1262,20240719,20240731,51,Promise to Pay,PTP Broken,44,Agency A,0.0
107,1763,20250929,20250930,360,Demand Letter,Reached,23,In-house,0.0
108,640,20250927,20250930,360,Restructure Offer,Reached,48,In-house,0.0
109,1560,20251017,20251031,206,Phone Call,Reached,51,In-house,0.0
110,4015,20240618,20240630,51,Phone Call,Restructured,62,In-house,0.0
111,1146,20251223,20251231,326,Promise to Pay,Paid Full,1,Agency A,64467.38
112,1903,20250916,20250930,189,SMS Reminder,Reached,64,In-house,0.0
113,72,20250714,20250731,55,Phone Call,Paid Full,56,In-house,20002.96
114,3474,20251111,20251130,174,Promise to Pay,Escalated,35,In-house,0.0
115,796,20250920,20250930,45,Promise to Pay,Paid Full,35,In-house,28815.87
116,437,20241012,20241031,64,SMS Reminder,PTP Given,61,Agency B,0.0
117,1057,20250916,20250930,354,Phone Call,PTP Given,50,In-house,0.0
118,1995,20250228,20250228,323,Phone Call,Paid Full,12,In-house,79062.2
119,3385,20251126,20251130,53,Legal Notice,PTP Broken,13,In-house,0.0
120,2192,20241227,20241231,81,SMS Reminder,Paid Partial,15,In-house,12607.3
121,949,20250210,20250228,227,Phone Call,Reached,21,In-house,0.0
122,380,20240616,20240630,37,Phone Call,Reached,18,In-house,0.0
123,3880,20241116,20241130,102,Restructure Offer,Paid Full,45,In-house,62068.85
124,2185,20250423,20250430,97,Legal Notice,Reached,15,In-house,0.0
125,2455,20250712,20250731,42,Phone Call,Reached,61,In-house,0.0
126,3941,20251010,20251031,299,Restructure Offer,PTP Given,9,In-house,0.0
127,394,20240730,20240731,59,SMS Reminder,Escalated,45,In-house,0.0
128,3716,20240719,20240731,90,Demand Letter,Paid Partial,31,In-house,8625.87
129,552,20250721,20250731,184,Demand Letter,PTP Broken,39,Agency B,0.0
130,2719,20250619,20250630,213,SMS Reminder,Paid Full,12,Agency A,44941.77
131,2653,20250413,20250430,185,SMS Reminder,Paid Partial,39,In-house,17930.2
132,1464,20250131,20250131,252,Field Visit,PTP Given,1,In-house,0.0
133,3942,20251121,20251130,97,Demand Letter,Reached,13,In-house,0.0
134,1237,20250808,20250831,284,SMS Reminder,PTP Given,18,In-house,0.0
135,1089,20240717,20240731,42,Demand Letter,PTP Broken,35,In-house,0.0
136,3734,20250422,20250430,58,Phone Call,PTP Given,13,Agency B,0.0
137,1898,20250128,20250131,50,Field Visit,Paid Partial,16,In-house,15122.45
138,3516,20251023,20251031,205,Phone Call,Paid Partial,64,Agency A,11820.72
139,3468,20251119,20251130,67,Phone Call,Paid Full,20,In-house,15625.35
140,3535,20251112,20251130,94,SMS Reminder,PTP Given,3,In-house,0.0
141,2525,20240712,20240731,35,Demand Letter,Paid Full,21,In-house,22281.0
142,757,20240514,20240531,31,Phone Call,No Answer,5,In-house,0.0
143,120,20250629,20250630,318,Demand Letter,Reached,41,In-house,0.0
144,3863,20241227,20241231,140,Restructure Offer,Paid Partial,55,Agency A,7920.14
145,2646,20240324,20240331,281,Phone Call,Escalated,10,In-house,0.0
146,14,20250913,20250930,258,SMS Reminder,No Answer,43,In-house,0.0
147,2293,20251228,20251231,206,Phone Call,Escalated,50,In-house,0.0
148,459,20250610,20250630,219,SMS Reminder,Restructured,39,In-house,0.0
149,4080,20251129,20251130,77,Promise to Pay,No Answer,62,In-house,0.0
150,502,20250929,20250930,109,Phone Call,Reached,35,In-house,0.0
151,2892,20250215,20250228,81,SMS Reminder,Reached,54,In-house,0.0
152,402,20250408,20250430,71,Demand Letter,Reached,57,Agency A,0.0
153,2815,20250729,20250731,180,Restructure Offer,PTP Broken,51,In-house,0.0
154,3786,20250407,20250430,77,Phone Call,No Answer,17,In-house,0.0
155,2573,20240627,20240630,36,Phone Call,Reached,44,In-house,0.0
156,1845,20251012,20251031,72,Restructure Offer,Paid Partial,16,In-house,6734.58
157,3532,20250205,20250228,33,Phone Call,PTP Given,20,In-house,0.0
158,3667,20251008,20251031,324,Phone Call,PTP Given,4,Agency A,0.0
159,1263,20250217,20250228,65,SMS Reminder,PTP Broken,39,In-house,0.0
160,1827,20251126,20251130,85,SMS Reminder,No Answer,27,In-house,0.0
161,201,20250924,20250930,30,Phone Call,Paid Full,15,In-house,7316.55
162,1455,20250727,20250731,347,SMS Reminder,Escalated,42,Agency A,0.0
163,2944,20251106,20251130,334,Demand Letter,PTP Broken,62,In-house,0.0
164,2186,20250926,20250930,149,Promise to Pay,PTP Given,36,In-house,0.0
165,3221,20241019,20241031,43,Restructure Offer,PTP Broken,42,Agency A,0.0
166,515,20250120,20250131,31,Restructure Offer,No Answer,16,In-house,0.0
167,4116,20240720,20240731,74,SMS Reminder,No Answer,46,In-house,0.0
168,233,20240915,20240930,163,SMS Reminder,No Answer,41,Agency A,0.0
169,181,20250430,20250430,100,Phone Call,Escalated,35,Agency B,0.0
170,3876,20251009,20251031,256,Phone Call,Reached,35,In-house,0.0
171,3070,20240512,20240531,35,Phone Call,Escalated,16,In-house,0.0
172,3684,20250829,20250831,158,Field Visit,No Answer,13,In-house,0.0
173,321,20251111,20251130,268,SMS Reminder,PTP Broken,63,In-house,0.0
174,1580,20251012,20251031,190,SMS Reminder,Escalated,56,In-house,0.0
175,2279,20251222,20251231,181,Demand Letter,No Answer,18,Agency A,0.0
176,2732,20251012,20251031,103,Phone Call,Paid Partial,63,In-house,4288.3
177,1279,20250118,20250131,141,SMS Reminder,No Answer,13,Agency A,0.0
178,861,20250516,20250531,278,Field Visit,PTP Broken,28,In-house,0.0
179,2719,20251230,20251231,360,SMS Reminder,Paid Partial,56,Agency B,24877.04
180,1121,20250928,20250930,341,SMS Reminder,Reached,54,In-house,0.0
181,3918,20250723,20250731,102,SMS Reminder,PTP Broken,40,In-house,0.0
182,99,20250621,20250630,332,Field Visit,PTP Given,23,In-house,0.0
183,222,20251129,20251130,325,SMS Reminder,Paid Full,61,Agency A,297156.47
184,2892,20250508,20250531,161,Phone Call,Reached,46,In-house,0.0
185,3979,20250211,20250228,47,SMS Reminder,Reached,43,In-house,0.0
186,31,20250928,20250930,104,Legal Notice,Paid Full,19,In-house,46523.85
187,3496,20251217,20251231,360,Field Visit,PTP Given,35,In-house,0.0
188,3734,20251007,20251031,208,Field Visit,Reached,15,In-house,0.0
189,776,20240507,20240531,230,Phone Call,Paid Partial,34,In-house,21911.56
190,4099,20251209,20251231,360,Restructure Offer,Restructured,12,In-house,0.0
191,2525,20251216,20251231,175,Phone Call,PTP Given,52,In-house,0.0
192,182,20240725,20240731,48,Restructure Offer,PTP Broken,29,In-house,0.0
193,3373,20240726,20240731,35,Phone Call,Restructured,20,In-house,0.0
194,657,20250813,20250831,360,Demand Letter,PTP Given,37,Agency A,0.0
195,3914,20250831,20250831,202,Phone Call,PTP Given,32,In-house,0.0
196,3189,20240616,20240630,97,SMS Reminder,Paid Partial,11,In-house,35136.4
197,3593,20250912,20250930,360,Demand Letter,PTP Broken,24,Agency A,0.0
198,2696,20250611,20250630,189,Phone Call,Paid Full,41,Agency A,26340.26
199,4011,20251112,20251130,100,Promise to Pay,No Answer,13,In-house,0.0
200,1905,20251210,20251231,186,Promise to Pay,Reached,3,In-house,0.0
201,2682,20251211,20251231,69,Phone Call,No Answer,19,In-house,0.0
202,3850,20251223,20251231,288,SMS Reminder,PTP Broken,51,Agency A,0.0
203,1677,20240921,20240930,36,Field Visit,Escalated,34,In-house,0.0
204,3068,20240728,20240731,52,Promise to Pay,PTP Given,36,Agency B,0.0
205,2050,20250717,20250731,164,Phone Call,PTP Given,39,Agency B,0.0
206,1414,20250915,20250930,226,Restructure Offer,Restructured,5,In-house,0.0
207,104,20240831,20240831,111,SMS Reminder,PTP Broken,46,In-house,0.0
208,180,20251221,20251231,355,Restructure Offer,Paid Partial,39,In-house,15982.25
209,669,20250924,20250930,241,Promise to Pay,Reached,34,In-house,0.0
210,1825,20251212,20251231,81,SMS Reminder,PTP Broken,25,Agency A,0.0
211,3818,20251118,20251130,329,SMS Reminder,PTP Given,49,In-house,0.0
212,1682,20250414,20250430,109,Demand Letter,No Answer,21,In-house,0.0
213,353,20250209,20250228,37,Promise to Pay,Reached,40,In-house,0.0
214,732,20250128,20250131,46,Phone Call,Reached,40,In-house,0.0
215,1557,20251017,20251031,105,SMS Reminder,Reached,23,In-house,0.0
216,640,20251007,20251031,360,Restructure Offer,PTP Given,3,Agency B,0.0
217,332,20251226,20251231,360,Demand Letter,Escalated,10,In-house,0.0
218,4158,20250518,20250531,77,Phone Call,PTP Given,35,Agency A,0.0
219,3378,20250425,20250430,34,Field Visit,No Answer,33,Agency B,0.0
220,2212,20250917,20250930,33,Phone Call,Reached,59,In-house,0.0
221,1472,20241219,20241231,81,Phone Call,PTP Broken,23,Agency B,0.0
222,402,20250814,20250831,165,Restructure Offer,Paid Full,1,Agency B,15529.66
223,3611,20250511,20250531,279,Promise to Pay,Reached,21,Agency B,0.0
224,3820,20250826,20250831,347,Restructure Offer,No Answer,11,Agency B,0.0
225,4126,20250815,20250831,287,SMS Reminder,PTP Given,56,In-house,0.0
226,3313,20250828,20250831,88,Legal Notice,PTP Broken,31,In-house,0.0
227,1264,20251229,20251231,62,Promise to Pay,PTP Broken,26,In-house,0.0
228,289,20251015,20251031,89,Phone Call,Escalated,31,Agency A,0.0
229,2277,20250530,20250531,31,SMS Reminder,PTP Broken,11,In-house,0.0
230,3203,20251222,20251231,85,SMS Reminder,Reached,2,In-house,0.0
231,2581,20240830,20240831,33,Demand Letter,Escalated,62,In-house,0.0
232,3903,20250818,20250831,360,SMS Reminder,PTP Broken,55,In-house,0.0
233,3452,20250708,20250731,32,Legal Notice,Restructured,20,In-house,0.0
234,3462,20250815,20250831,87,Phone Call,No Answer,63,In-house,0.0
235,3559,20250811,20250831,83,SMS Reminder,PTP Broken,53,In-house,0.0
236,1265,20250918,20250930,81,Promise to Pay,PTP Given,18,In-house,0.0
237,668,20250906,20250930,360,Field Visit,Reached,15,In-house,0.0
238,3705,20240623,20240630,42,SMS Reminder,PTP Given,55,In-house,0.0
239,533,20250624,20250630,32,SMS Reminder,Restructured,50,In-house,0.0
240,1256,20251108,20251130,155,Field Visit,Paid Full,11,In-house,1543.42
241,3273,20251130,20251130,43,SMS Reminder,Reached,16,In-house,0.0
242,470,20250914,20250930,198,Phone Call,Paid Partial,23,Agency B,1874.22
243,1100,20240731,20240731,104,Field Visit,Restructured,40,In-house,0.0
244,1248,20251220,20251231,55,SMS Reminder,No Answer,18,In-house,0.0
245,3403,20250925,20250930,86,Phone Call,Paid Full,38,In-house,39842.06
246,3177,20251228,20251231,84,Field Visit,PTP Given,36,In-house,0.0
247,3248,20250712,20250731,156,Promise to Pay,Reached,25,In-house,0.0
248,3514,20251014,20251031,311,Phone Call,Reached,26,In-house,0.0
249,1833,20250212,20250228,88,SMS Reminder,PTP Given,60,In-house,0.0
250,3848,20250112,20250131,280,Phone Call,PTP Given,63,In-house,0.0
251,243,20250218,20250228,88,SMS Reminder,Reached,57,In-house,0.0
252,4015,20250512,20250531,351,Field Visit,Reached,57,Agency B,0.0
253,1528,20251213,20251231,265,Demand Letter,PTP Broken,28,In-house,0.0
254,4137,20251129,20251130,72,Restructure Offer,Paid Partial,9,In-house,771.72
255,3903,20240716,20240731,63,Field Visit,Reached,63,In-house,0.0
256,849,20251215,20251231,360,Promise to Pay,Reached,28,In-house,0.0
257,3806,20250619,20250630,141,Phone Call,PTP Given,43,In-house,0.0
258,3273,20251231,20251231,64,Phone Call,No Answer,33,Agency A,0.0
259,3672,20251108,20251130,34,Phone Call,PTP Given,40,In-house,0.0
260,754,20250522,20250531,53,Field Visit,PTP Given,34,Agency B,0.0
261,3040,20250522,20250531,59,SMS Reminder,Reached,7,In-house,0.0
262,3077,20250808,20250831,342,SMS Reminder,Reached,8,In-house,0.0
263,914,20250916,20250930,183,Phone Call,No Answer,59,Agency A,0.0
264,3197,20241019,20241031,261,SMS Reminder,Reached,9,In-house,0.0
265,346,20250831,20250831,94,Restructure Offer,No Answer,21,In-house,0.0
266,864,20251216,20251231,49,Legal Notice,PTP Given,9,Agency A,0.0
267,3596,20240707,20240731,90,Phone Call,Reached,31,Agency A,0.0
268,3016,20251009,20251031,360,Legal Notice,PTP Given,19,In-house,0.0
269,3708,20250830,20250831,158,Demand Letter,No Answer,44,In-house,0.0
270,133,20240930,20240930,39,Restructure Offer,Restructured,25,In-house,0.0
271,2147,20250420,20250430,32,Phone Call,PTP Given,10,In-house,0.0
272,3350,20250520,20250531,68,Demand Letter,Paid Partial,6,Agency B,10405.57
273,890,20251020,20251031,360,Promise to Pay,PTP Given,46,In-house,0.0
274,37,20250519,20250531,281,Phone Call,No Answer,20,In-house,0.0
275,4116,20250417,20250430,118,Promise to Pay,Reached,52,In-house,0.0
276,895,20250908,20250930,47,Phone Call,Reached,1,In-house,0.0
277,941,20240922,20240930,161,Phone Call,PTP Given,52,Agency A,0.0
278,3543,20250727,20250731,30,SMS Reminder,PTP Given,37,In-house,0.0
279,2207,20241107,20241130,30,Restructure Offer,Reached,42,In-house,0.0
280,776,20251222,20251231,309,Restructure Offer,Paid Partial,10,In-house,39186.39
281,2748,20250208,20250228,181,Restructure Offer,PTP Given,33,In-house,0.0
282,1435,20250312,20250331,81,Restructure Offer,No Answer,58,Agency B,0.0
283,431,20251120,20251130,197,Legal Notice,Paid Partial,19,In-house,12228.65
284,2361,20250912,20250930,33,Field Visit,No Answer,8,In-house,0.0
285,2666,20250811,20250831,67,SMS Reminder,Escalated,11,Agency B,0.0
286,3382,20241118,20241130,46,Restructure Offer,Reached,22,In-house,0.0
287,809,20251228,20251231,150,SMS Reminder,Paid Partial,55,Agency A,10115.58
288,2169,20251207,20251231,248,SMS Reminder,Reached,45,In-house,0.0
289,3704,20250420,20250430,87,Field Visit,Paid Partial,51,In-house,25420.01
290,668,20250612,20250630,360,Phone Call,No Answer,8,In-house,0.0
291,2219,20250228,20250228,240,SMS Reminder,Restructured,35,In-house,0.0
292,243,20250719,20250731,120,Promise to Pay,Paid Full,6,In-house,35742.82
293,361,20250519,20250531,35,SMS Reminder,PTP Given,24,In-house,0.0
294,3564,20241117,20241130,47,Restructure Offer,Paid Full,46,Agency B,36583.66
295,1361,20240709,20240731,35,Phone Call,PTP Broken,32,Agency A,0.0
296,1039,20251209,20251231,65,SMS Reminder,PTP Given,30,In-house,0.0
297,2306,20251009,20251031,108,SMS Reminder,Escalated,41,In-house,0.0
298,452,20250518,20250531,135,Field Visit,PTP Given,57,In-house,0.0
299,2925,20241222,20241231,65,Restructure Offer,PTP Given,51,Agency B,0.0
300,2612,20250810,20250831,121,Field Visit,No Answer,40,In-house,0.0
301,2240,20250809,20250831,62,Phone Call,PTP Given,18,In-house,0.0
302,2934,20241009,20241031,176,SMS Reminder,Paid Partial,59,In-house,41274.45
303,2004,20251211,20251231,93,Promise to Pay,Reached,53,In-house,0.0
304,4007,20240317,20240331,38,Field Visit,PTP Broken,43,In-house,0.0
305,2495,20241029,20241031,170,SMS Reminder,No Answer,6,In-house,0.0
306,855,20251231,20251231,144,Promise to Pay,Reached,30,Agency A,0.0
307,142,20250831,20250831,117,Phone Call,PTP Given,10,In-house,0.0
308,2404,20251211,20251231,138,Field Visit,Restructured,47,Agency A,0.0
309,3678,20241020,20241031,50,Phone Call,PTP Given,45,In-house,0.0
310,2812,20250813,20250831,49,SMS Reminder,PTP Given,42,Agency B,0.0
311,2596,20250714,20250731,189,Field Visit,PTP Broken,4,In-house,0.0
312,705,20251021,20251031,54,SMS Reminder,Paid Partial,16,In-house,9826.42
313,3986,20251017,20251031,186,SMS Reminder,Paid Partial,29,In-house,10813.7
314,558,20240726,20240731,251,Phone Call,PTP Given,11,In-house,0.0
315,426,20241129,20241130,55,Phone Call,No Answer,55,In-house,0.0
316,2721,20241027,20241031,120,SMS Reminder,PTP Given,61,In-house,0.0
317,1237,20250630,20250630,243,SMS Reminder,Reached,54,In-house,0.0
318,3106,20250128,20250131,158,Restructure Offer,PTP Given,56,Agency A,0.0
319,2934,20240728,20240731,117,Phone Call,Reached,37,In-house,0.0
320,2301,20240815,20240831,47,Demand Letter,Paid Partial,58,In-house,6957.55
321,973,20251119,20251130,236,Phone Call,PTP Given,21,In-house,0.0
322,3802,20240906,20240930,65,Field Visit,No Answer,30,In-house,0.0
323,3897,20250810,20250831,306,Demand Letter,PTP Given,13,Agency B,0.0
324,298,20251109,20251130,50,Phone Call,Reached,57,Agency B,0.0
325,462,20251030,20251031,309,Promise to Pay,Escalated,5,In-house,0.0
326,1877,20250521,20250531,86,SMS Reminder,Paid Partial,9,In-house,5873.63
327,570,20251222,20251231,175,Phone Call,PTP Broken,2,In-house,0.0
328,424,20250828,20250831,36,Legal Notice,Escalated,23,In-house,0.0
329,1325,20251016,20251031,54,Field Visit,Reached,14,Agency B,0.0
330,1860,20250513,20250531,179,Legal Notice,Paid Partial,8,In-house,28283.82
331,306,20250620,20250630,50,Phone Call,Paid Partial,3,In-house,2390.35
332,3685,20240828,20240831,49,Field Visit,Paid Partial,52,In-house,12646.89
333,1475,20250204,20250228,235,SMS Reminder,Reached,61,In-house,0.0
334,3045,20250711,20250731,309,Promise to Pay,No Answer,37,In-house,0.0
335,1655,20251017,20251031,36,Phone Call,No Answer,14,Agency B,0.0
336,2948,20250930,20250930,311,SMS Reminder,No Answer,41,In-house,0.0
337,684,20250809,20250831,217,Field Visit,Reached,39,In-house,0.0
338,2005,20250118,20250131,33,Phone Call,PTP Given,49,In-house,0.0
339,1760,20250918,20250930,356,SMS Reminder,No Answer,25,In-house,0.0
340,2181,20251021,20251031,310,Phone Call,PTP Given,55,In-house,0.0
341,3106,20251128,20251130,360,Phone Call,Restructured,15,In-house,0.0
342,225,20241126,20241130,60,Legal Notice,Reached,45,In-house,0.0
343,3092,20250516,20250531,196,SMS Reminder,Paid Partial,52,In-house,13527.04
344,3410,20251107,20251130,324,Demand Letter,PTP Broken,18,In-house,0.0
345,2563,20250108,20250131,36,Demand Letter,Paid Full,1,Agency B,31343.6
346,3044,20250916,20250930,68,Phone Call,Paid Partial,19,In-house,756.01
347,2611,20251011,20251031,70,Demand Letter,Reached,57,In-house,0.0
348,303,20241225,20241231,298,Phone Call,PTP Given,64,In-house,0.0
349,440,20250823,20250831,42,Phone Call,No Answer,39,In-house,0.0
350,4152,20251223,20251231,310,Phone Call,No Answer,52,Agency B,0.0
351,2526,20250618,20250630,107,Phone Call,Restructured,3,In-house,0.0
352,3000,20251014,20251031,168,SMS Reminder,Paid Full,9,Agency B,13286.35
353,1339,20240715,20240731,41,Phone Call,No Answer,23,In-house,0.0
354,163,20250808,20250831,99,SMS Reminder,Reached,18,In-house,0.0
355,4107,20250827,20250831,76,Phone Call,Escalated,26,In-house,0.0
356,1129,20240722,20240731,42,Phone Call,No Answer,42,In-house,0.0
357,108,20250426,20250430,352,Phone Call,No Answer,8,Agency B,0.0
358,1472,20240920,20240930,42,Restructure Offer,Paid Partial,47,In-house,35519.34
359,3256,20250426,20250430,263,Phone Call,No Answer,56,In-house,0.0
360,3048,20250615,20250630,190,Demand Letter,PTP Broken,32,In-house,0.0
361,3931,20250823,20250831,200,SMS Reminder,PTP Broken,60,In-house,0.0
362,1166,20251107,20251130,52,SMS Reminder,PTP Broken,23,In-house,0.0
363,426,20251014,20251031,116,Restructure Offer,Paid Partial,26,In-house,11355.28
364,1668,20240914,20240930,59,SMS Reminder,PTP Broken,64,Agency A,0.0
365,19,20250721,20250731,261,Phone Call,PTP Given,6,In-house,0.0
366,1878,20241007,20241031,35,Restructure Offer,Escalated,17,In-house,0.0
367,3446,20250720,20250731,240,Demand Letter,Reached,58,In-house,0.0
